,carat,depth,table,x,y,z,color_le,cut_le,clarity_le
5149,0.55,60.2,56.0,5.33,5.38,3.22,0,2,5
5150,0.31,59.0,59.0,4.47,4.44,2.63,2,3,5
5151,0.71,61.1,56.0,5.75,5.78,3.52,2,2,4
5152,0.53,62.3,55.0,5.17,5.2,3.23,2,2,5
5153,0.7,60.9,58.0,5.66,5.73,3.47,6,4,4
5154,0.72,60.7,59.0,5.84,5.8,3.53,4,3,5
5155,0.33,60.4,59.0,4.54,4.5,2.73,5,3,2
5156,0.34,57.0,61.0,6.65,4.61,2.64,1,1,5
5157,0.3,62.3,56.0,4.27,4.3,2.67,0,2,5
5158,0.42,62.3,55.0,4.8,4.83,3.0,3,2,3
5159,0.39,61.4,59.0,4.69,4.73,2.89,0,4,7
5160,0.32,61.9,55.0,4.41,4.38,2.72,1,2,6
5161,0.7,61.8,58.0,5.67,5.63,3.49,3,3,7
5162,0.5,63.5,58.0,5.07,5.04,3.21,1,4,5
5163,1.03,61.1,55.0,6.51,6.54,3.99,2,2,0
5164,0.32,59.8,59.0,4.48,4.52,2.69,3,3,5
5165,0.75,61.7,56.0,5.81,5.92,3.62,6,4,2
5166,0.3,62.0,56.0,4.3,4.34,2.68,1,2,7
5167,0.5,64.7,57.0,4.99,4.94,3.21,2,0,2
5168,0.7,61.2,59.0,5.65,5.69,3.47,5,3,6
5169,0.31,61.7,59.0,4.34,4.31,2.67,0,3,5
5170,0.3,64.0,57.0,4.23,4.27,2.72,3,1,6
5171,0.5,61.9,55.0,5.09,5.12,3.16,0,2,5
5172,0.32,61.6,57.0,4.4,4.43,2.72,1,2,7
5173,1.01,59.8,54.0,6.6,6.5,3.93,0,3,2
5174,0.54,61.1,58.0,5.24,5.3,3.22,0,3,4
5175,0.73,60.9,57.0,5.8,5.83,3.54,1,2,3
5176,0.52,61.0,56.0,5.17,5.21,3.17,4,2,6
5177,0.33,63.3,56.0,4.41,4.43,2.8,1,1,2
5178,0.3,62.2,56.0,4.28,4.3,2.67,4,2,6
5179,0.75,62.0,56.0,5.79,5.85,3.61,3,2,7
5180,0.38,62.4,54.0,4.65,4.6,2.89,2,2,5
5181,0.91,56.9,61.0,6.41,6.24,3.6,4,1,5
5182,0.7,57.8,61.0,5.88,5.82,3.38,1,1,3
5183,0.32,59.7,59.0,4.43,4.48,2.66,2,3,3
5184,1.0,62.9,55.0,6.29,6.36,3.98,2,4,7
5185,0.35,62.1,57.0,4.52,4.55,2.81,1,2,6
5186,0.34,59.3,58.0,4.52,4.55,2.69,0,3,5
5187,0.71,60.7,61.0,5.72,5.77,3.49,6,2,2
5188,0.74,61.4,56.0,5.82,5.87,3.58,0,2,7
5189,1.11,59.4,58.0,6.74,6.79,4.02,2,4,7
5190,0.3,63.5,54.0,4.27,4.3,2.72,4,1,5
5191,1.01,64.2,60.0,6.35,6.32,4.07,0,1,5
5192,0.34,62.9,55.0,4.45,4.52,2.82,3,4,5
5193,0.48,62.7,58.5,4.99,5.01,3.14,1,4,2
5194,1.03,62.2,59.0,6.41,6.46,4.0,3,3,4
5195,0.39,61.9,57.0,4.71,4.69,2.91,0,2,4
5196,0.54,62.0,54.0,5.23,5.28,3.26,4,2,2
5197,0.34,63.0,55.0,4.44,4.48,2.81,4,4,7
5198,0.38,62.4,56.0,4.63,4.69,2.91,1,2,7
5199,1.21,63.4,57.0,6.79,6.72,4.28,5,4,5
5200,1.02,61.7,56.0,6.4,6.49,3.97,0,2,2
5201,0.41,59.3,61.0,4.8,4.84,2.86,1,4,2
5202,2.01,62.3,59.0,8.02,8.1,5.02,5,4,5
5203,0.32,61.0,59.0,4.42,4.46,2.71,3,3,5
5204,0.9,61.9,55.0,6.18,6.23,3.84,3,2,2
5205,0.3,62.4,55.0,4.32,4.34,2.7,1,2,6
5206,1.31,63.6,55.1,6.92,6.98,4.42,5,1,3
5207,1.7,59.0,58.0,7.8,7.85,4.62,3,3,5
5208,2.23,62.4,59.0,8.36,8.33,5.21,6,3,2
5209,1.62,62.4,53.2,7.47,7.51,4.68,6,2,2
5210,0.39,63.3,55.0,4.63,4.66,2.94,2,1,5
5211,0.32,61.3,55.0,4.43,4.41,2.71,4,2,4
5212,1.01,60.9,55.0,6.5,6.48,3.95,3,3,5
5213,1.03,61.7,56.0,6.49,6.47,4.0,2,3,4
5214,1.02,60.5,56.0,6.53,6.57,3.96,4,2,3
5215,0.3,59.5,60.0,4.39,4.45,2.63,6,4,4
5216,1.13,61.4,56.0,6.69,6.71,4.12,5,2,3
5217,0.5,61.9,56.0,5.09,5.12,3.16,2,4,7
5218,0.68,58.2,60.0,5.75,5.79,3.36,1,4,2
5219,0.33,62.3,57.0,4.42,4.38,2.74,3,2,4
5220,0.34,61.7,56.0,4.52,4.49,2.78,1,2,2
5221,0.7,62.1,55.0,5.63,5.61,3.49,3,2,5
5222,1.51,65.1,57.0,7.16,7.12,4.65,5,0,0
5223,1.61,62.5,57.0,7.49,7.43,4.66,5,2,5
5224,1.58,60.3,56.0,7.56,7.62,4.58,2,2,2
5225,0.33,62.3,56.0,4.43,4.46,2.77,2,2,5
5226,0.53,60.5,57.0,5.24,5.28,3.18,1,2,7
5227,1.52,64.0,58.0,7.27,7.2,4.63,5,1,2
5228,1.01,61.9,55.0,6.44,6.38,3.97,1,2,5
5229,0.31,62.3,57.0,4.3,4.34,2.69,2,2,5
5230,2.01,60.6,62.0,8.05,8.08,4.89,4,4,2
5231,0.71,55.6,73.0,6.01,5.96,3.33,0,0,5
5232,0.55,60.9,55.0,5.32,5.29,3.23,3,2,4
5233,1.07,62.0,60.0,6.49,6.58,4.05,1,4,4
5234,1.02,59.8,59.0,6.54,6.5,3.9,4,3,3
5235,0.39,61.9,55.6,4.68,4.7,2.91,4,2,1
5236,0.66,61.6,55.0,5.63,5.66,3.48,4,2,2
5237,0.71,58.6,62.0,5.88,5.82,3.43,2,3,4
5238,0.32,61.4,56.0,4.42,4.38,2.7,2,2,6
5239,0.54,61.2,57.0,5.25,5.27,3.22,1,2,4
5240,1.36,61.0,56.0,7.17,7.2,4.38,3,2,2
5241,2.14,62.1,58.0,8.21,8.26,5.11,5,2,2
5242,1.55,61.7,57.0,7.37,7.42,4.56,6,2,5
5243,0.32,60.5,58.0,4.47,4.42,2.69,1,3,6
5244,0.73,62.4,57.0,5.71,5.79,3.59,3,2,7
5245,0.93,62.2,58.0,6.2,6.24,3.87,3,2,2
5246,0.41,60.5,55.0,4.83,4.89,2.94,4,2,6
5247,0.3,61.0,59.0,4.29,4.33,2.63,1,3,1
5248,0.71,64.2,58.0,5.62,5.59,3.6,3,1,5
5249,0.3,61.8,56.0,4.34,4.37,2.69,3,2,2
5250,0.3,62.0,57.0,4.28,4.3,2.66,5,2,1
5251,1.51,61.0,63.0,7.32,7.39,4.49,2,1,5
5252,0.6,61.4,59.0,5.37,5.41,3.31,3,2,7
5253,0.51,61.5,55.0,5.16,5.18,3.18,3,2,3
5254,0.41,61.9,56.0,4.77,4.8,2.96,0,2,5
5255,0.9,65.0,61.0,6.01,5.96,3.89,4,0,3
5256,1.05,61.8,59.0,6.53,6.49,4.02,5,2,3
5257,2.01,61.1,59.0,8.04,8.07,4.92,6,4,5
5258,1.04,62.8,59.0,6.46,6.41,4.04,1,4,2
5259,0.9,58.3,60.0,6.34,6.31,3.69,4,3,3
5260,0.31,62.2,59.0,4.3,4.35,2.69,3,3,5
5261,1.71,62.9,58.0,7.58,7.64,4.79,6,4,2
5262,0.71,59.3,59.0,5.89,5.81,3.47,5,3,5
5263,1.09,61.8,57.0,6.55,6.59,4.06,5,2,5
5264,0.4,60.8,54.0,4.8,4.83,2.93,3,2,6
5265,0.34,63.5,56.0,4.48,4.44,2.83,2,4,3
5266,0.39,61.6,56.0,4.68,4.71,2.89,4,2,5
5267,0.36,61.3,60.0,4.59,4.52,2.79,6,3,2
5268,0.71,60.0,57.0,5.83,5.81,3.49,0,2,3
5269,0.73,60.8,56.0,5.82,5.84,3.55,4,4,5
5270,0.32,59.7,60.0,4.45,4.43,2.65,1,3,3
5271,1.0,62.5,57.0,6.34,6.42,3.99,2,1,5
5272,1.1,59.5,57.0,6.81,6.74,4.03,4,3,3
5273,1.31,62.0,58.0,6.97,7.02,4.34,3,2,4
5274,0.33,61.1,56.0,4.48,4.45,2.73,1,2,5
5275,0.31,61.9,54.5,4.33,4.36,2.69,5,2,4
5276,0.3,62.2,59.0,4.28,4.24,2.65,3,3,4
5277,0.5,61.6,59.0,5.12,5.14,3.16,0,4,2
5278,1.39,60.8,58.0,7.26,7.21,4.4,6,3,4
5279,0.41,61.4,56.0,4.8,4.77,2.94,0,2,2
5280,0.31,61.3,56.0,4.37,4.41,2.69,4,2,1
5281,0.3,61.6,61.0,4.26,4.31,2.64,1,4,5
5282,1.52,61.9,56.0,7.31,7.35,4.54,0,4,5
5283,0.38,61.8,56.0,4.62,4.66,2.87,1,2,3
5284,2.05,61.4,58.5,8.13,8.16,5.0,6,4,4
5285,0.9,61.6,54.0,6.18,6.25,3.83,0,4,2
5286,1.25,62.2,58.0,6.88,6.92,4.29,6,3,4
5287,1.01,65.3,58.0,6.14,6.2,4.03,3,0,2
5288,1.01,58.8,63.0,6.51,6.56,3.84,2,4,5
5289,0.62,61.2,59.0,5.52,5.42,3.35,6,3,5
5290,0.25,60.7,59.0,4.11,4.13,2.5,1,3,4
5291,1.01,62.7,57.0,6.32,6.38,3.98,2,4,2
5292,1.06,62.5,56.0,6.61,6.47,4.09,0,3,3
5293,1.11,62.5,56.0,6.65,6.63,4.15,4,2,2
5294,0.7,62.2,55.0,5.73,5.68,3.55,2,2,2
5295,2.02,61.9,61.0,8.06,8.02,4.98,2,1,3
5296,0.31,62.3,58.0,4.35,4.38,2.72,5,4,2
5297,1.11,61.6,55.0,6.66,6.62,4.09,0,2,3
5298,0.91,61.1,59.0,6.2,6.24,3.8,1,3,3
5299,0.55,61.4,54.0,5.3,5.35,3.27,5,2,2
5300,0.73,62.7,58.0,5.76,5.7,3.59,1,3,2
5301,2.19,61.8,60.0,8.35,8.25,5.13,6,3,3
5302,0.5,65.9,64.0,4.92,5.03,3.28,0,0,6
5303,0.9,62.0,56.0,6.22,6.19,3.85,4,2,4
5304,1.6,60.2,55.5,7.6,7.66,4.59,2,2,5
5305,1.22,60.0,58.0,6.95,6.99,4.18,3,2,7
5306,0.57,59.7,59.0,5.37,5.41,3.22,3,3,5
5307,0.3,62.0,55.0,4.27,4.31,2.66,1,2,5
5308,0.34,62.6,54.0,4.47,4.44,2.79,3,2,7
5309,1.2,59.6,62.0,6.9,6.95,4.13,6,4,3
5310,0.52,62.1,53.8,5.17,5.19,3.21,4,2,6
5311,0.9,61.0,58.0,6.19,6.23,3.79,5,4,2
5312,0.31,62.2,57.0,4.32,4.36,2.7,4,2,7
5313,0.54,63.4,56.0,5.14,5.18,3.27,1,1,3
5314,0.4,62.4,56.0,4.74,4.72,2.95,3,2,7
5315,1.66,61.4,58.0,7.63,7.68,4.7,2,4,5
5316,0.41,63.0,56.0,4.78,4.71,2.99,2,2,2
5317,0.32,60.6,57.0,4.4,4.44,2.68,4,2,2
5318,1.23,61.8,56.0,6.89,6.84,4.24,2,2,7
5319,1.16,64.0,58.0,6.56,6.63,4.22,4,1,2
5320,1.02,65.1,56.0,6.29,6.25,4.08,2,0,2
5321,2.0,58.8,65.0,8.03,8.1,4.74,5,1,4
5322,0.52,62.0,55.0,5.16,5.19,3.21,3,2,5
5323,0.34,61.1,57.0,4.51,4.54,2.76,2,4,4
5324,0.52,60.4,56.0,5.31,5.29,3.2,2,2,2
5325,0.37,63.7,55.0,4.54,4.56,2.9,4,1,5
5326,0.31,59.5,59.0,4.4,4.47,2.64,3,3,4
5327,0.7,59.6,60.0,5.77,5.71,3.42,2,3,3
5328,1.52,61.8,54.0,7.42,7.43,4.59,4,2,5
5329,0.33,62.2,56.0,4.45,4.43,2.76,2,2,7
5330,1.27,62.2,54.0,6.92,6.98,4.32,6,2,7
5331,1.26,60.7,58.0,7.02,7.04,4.27,1,3,4
5332,0.6,62.0,57.0,5.43,5.35,3.34,0,3,3
5333,0.51,61.2,60.0,5.12,5.17,3.15,3,3,5
5334,1.04,60.1,60.0,6.53,6.51,3.92,1,3,3
5335,1.0,62.7,58.0,6.32,6.28,3.95,6,3,3
5336,0.41,63.2,57.0,4.69,4.74,2.98,1,4,2
5337,0.32,62.3,57.0,4.33,4.44,2.73,6,4,2
5338,0.3,62.0,55.0,4.25,4.3,2.65,1,2,5
5339,1.14,63.1,59.0,6.63,6.61,4.18,1,4,4
5340,1.04,61.9,58.0,6.47,6.55,4.03,5,4,5
5341,0.9,64.4,58.0,6.07,6.01,3.89,1,0,3
5342,0.23,61.8,58.0,3.94,3.92,2.43,1,3,7
5343,0.53,61.5,54.0,5.23,5.25,3.22,1,2,6
5344,1.68,60.4,55.0,7.7,7.79,4.68,1,2,3
5345,0.27,62.9,55.0,4.12,4.15,2.6,3,4,6
5346,1.5,61.1,60.0,7.4,7.3,4.49,3,4,5
5347,0.32,62.5,58.0,4.37,4.33,2.72,4,3,6
5348,1.04,60.9,59.0,6.58,6.62,4.02,1,4,3
5349,0.38,62.0,54.0,4.66,4.72,2.91,4,2,2
5350,0.59,60.6,56.0,5.44,5.46,3.3,3,2,3
5351,0.91,62.1,55.0,6.16,6.21,3.84,3,4,3
5352,0.3,59.5,60.0,4.36,4.38,2.6,1,2,6
5353,1.86,62.6,56.0,7.95,7.87,4.95,6,2,5
5354,0.33,61.1,58.0,4.43,4.47,2.72,1,3,2
5355,0.46,60.6,59.0,5.04,5.0,3.04,3,3,2
5356,1.11,63.6,58.0,6.48,6.57,4.15,6,1,2
5357,0.4,61.5,59.0,4.71,4.75,2.91,3,2,6
5358,0.69,62.1,57.0,5.65,5.62,3.5,4,2,2
5359,0.7,61.6,61.0,5.66,5.68,3.49,2,1,3
5360,0.73,62.2,58.0,5.71,5.77,3.57,3,4,3
5361,0.3,61.3,57.0,4.36,4.32,2.66,0,2,5
5362,1.24,62.0,58.0,6.83,6.88,4.25,5,2,2
5363,1.81,56.2,62.0,8.14,8.09,4.56,6,0,2
5364,2.11,58.4,62.0,8.43,8.39,4.91,5,3,3
5365,0.59,60.7,56.0,5.46,5.41,3.3,4,3,5
5366,1.01,62.0,58.0,6.36,6.45,3.97,2,3,7
5367,1.01,64.2,56.0,6.38,6.26,4.05,3,1,2
5368,0.77,62.1,62.0,5.87,5.82,3.63,6,3,5
5369,1.01,63.9,57.0,6.37,6.3,4.05,3,1,2
5370,0.96,60.6,60.0,6.4,6.47,3.9,5,3,5
5371,0.95,59.7,57.0,6.41,6.45,3.84,2,1,3
5372,0.52,61.4,56.0,5.16,5.19,3.18,0,2,5
5373,0.71,63.2,58.0,5.58,5.68,3.56,3,4,2
5374,0.59,61.9,58.0,5.37,5.32,3.31,0,3,4
5375,0.7,61.4,59.0,5.59,5.74,3.51,3,3,4
5376,0.53,60.9,57.0,5.21,5.24,3.18,1,2,2
5377,0.53,63.3,56.0,5.12,5.18,3.26,6,1,5
5378,2.05,61.6,59.0,8.2,8.16,5.04,3,3,2
5379,1.01,62.3,60.0,6.33,6.41,3.97,5,4,5
5380,0.41,63.8,56.0,4.74,4.7,3.01,3,1,0
5381,0.42,62.5,59.0,4.79,4.72,2.97,3,3,4
5382,0.74,62.9,57.0,5.76,5.79,3.63,2,4,2
5383,0.51,61.7,56.0,5.13,5.18,3.18,4,2,5
5384,0.32,62.5,56.0,4.4,4.37,2.74,2,2,5
5385,1.42,60.1,61.0,7.32,7.42,4.43,1,1,3
5386,0.34,62.7,55.0,4.47,4.46,2.8,1,2,2
5387,1.01,61.8,54.0,6.48,6.44,3.99,4,2,2
5388,0.95,62.3,60.0,6.3,6.26,3.91,2,3,2
5389,0.22,61.7,60.0,3.9,3.85,2.39,2,3,2
5390,0.53,60.9,59.0,5.18,5.2,3.16,0,4,2
5391,0.31,61.7,58.0,4.3,4.36,2.67,1,3,4
5392,1.2,62.5,59.0,6.66,6.72,4.18,4,4,2
5393,0.74,61.1,54.0,5.86,5.89,3.59,0,2,5
5394,1.11,60.8,57.0,6.7,6.73,4.08,2,4,7
5395,0.3,58.4,59.0,4.42,4.45,2.59,2,4,2
5396,2.5,65.1,59.0,8.55,8.39,5.53,3,0,0
5397,1.63,59.8,56.0,7.57,7.64,4.55,2,1,2
5398,0.37,61.2,55.0,4.63,4.68,2.85,1,4,7
5399,0.35,62.2,56.0,4.53,4.51,2.81,1,2,5
5400,1.03,61.6,55.0,6.49,6.54,4.01,3,2,5
5401,1.01,60.7,58.0,6.49,6.52,3.95,3,3,4
5402,0.51,62.0,56.0,5.11,5.14,3.18,2,2,5
5403,0.75,61.2,56.0,5.86,5.9,3.6,6,2,5
5404,0.28,59.8,56.0,4.27,4.29,2.56,2,4,1
5405,0.27,62.9,55.0,4.13,4.15,2.6,3,4,6
5406,0.5,62.9,58.0,5.04,5.01,3.16,4,3,2
5407,0.44,60.4,58.0,4.93,4.87,2.96,1,3,5
5408,0.26,61.9,56.0,4.07,4.1,2.53,3,4,4
5409,0.7,66.5,57.0,5.4,5.46,3.61,3,0,5
5410,1.5,63.5,60.0,7.19,7.12,4.54,1,4,3
5411,0.3,61.9,59.0,4.25,4.28,2.64,3,3,7
5412,0.8,63.5,57.0,5.87,5.91,3.74,3,4,4
5413,0.41,62.4,60.0,4.73,4.7,2.94,5,3,7
5414,1.23,61.0,55.0,6.95,6.93,4.23,3,2,7
5415,1.51,60.9,54.0,7.38,7.41,4.5,4,4,5
5416,1.34,63.2,57.0,6.98,6.95,4.4,3,4,3
5417,0.4,63.3,58.0,4.63,4.66,2.94,0,4,5
5418,0.35,62.1,60.0,4.45,4.51,2.78,2,3,5
5419,1.54,60.9,59.0,7.42,7.46,4.53,5,3,2
5420,2.01,59.1,59.0,8.09,8.14,4.8,5,1,3
5421,2.09,61.2,57.0,8.27,8.19,5.04,5,2,3
5422,0.27,62.3,56.0,4.16,4.19,2.6,1,4,6
5423,0.31,60.4,58.0,4.41,4.43,2.67,4,3,1
5424,0.58,59.9,58.0,5.35,5.4,3.22,2,4,2
5425,1.71,62.7,55.0,7.62,7.69,4.8,1,2,3
5426,0.96,60.6,60.0,6.47,6.4,3.9,5,3,5
5427,1.01,63.1,60.0,6.36,6.39,4.02,2,1,5
5428,0.29,55.8,60.0,4.48,4.41,2.48,2,0,2
5429,0.9,59.9,61.0,6.29,6.19,3.74,4,4,7
5430,0.33,62.3,58.0,4.43,4.4,2.75,2,3,3
5431,0.55,61.1,57.0,5.32,5.29,3.24,0,2,7
5432,0.57,61.4,55.0,5.38,5.39,3.3,2,2,4
5433,0.51,63.0,56.0,5.12,5.14,3.23,1,4,3
5434,0.31,61.2,55.0,4.37,4.39,2.68,0,2,5
5435,0.7,60.4,60.0,5.79,5.74,3.48,0,3,3
5436,0.84,60.4,55.0,6.07,6.12,3.68,3,4,7
5437,2.22,62.7,61.2,8.23,8.31,5.19,5,1,3
5438,0.4,61.8,55.0,4.75,4.79,2.95,3,2,1
5439,0.3,62.0,58.0,4.27,4.29,2.65,3,2,2
5440,1.2,62.0,55.0,6.81,6.87,4.24,3,2,4
5441,1.32,61.7,56.0,7.11,7.05,4.37,5,2,2
5442,0.5,61.8,59.0,5.07,5.02,3.12,1,3,5
5443,1.06,61.5,59.0,6.57,6.53,4.03,3,3,2
5444,0.42,61.4,56.0,4.8,4.84,2.96,0,2,5
5445,0.41,62.3,55.0,4.78,4.82,2.99,2,2,1
5446,1.01,64.1,60.0,6.21,6.16,3.97,2,1,2
5447,1.5,62.1,60.0,7.31,7.27,4.53,1,3,5
5448,0.81,61.7,57.0,5.97,6.02,3.7,2,2,5
5449,0.24,59.5,62.0,4.04,4.06,2.41,0,4,7
5450,0.71,62.6,56.0,5.7,5.65,3.55,2,2,7
5451,0.32,61.8,55.0,4.43,4.41,2.73,3,2,5
5452,0.3,62.5,60.0,4.27,4.24,2.66,1,3,2
5453,1.0,62.3,53.0,6.37,6.43,3.99,2,2,6
5454,1.55,61.4,55.0,7.41,7.49,4.58,6,2,5
5455,0.43,60.7,57.0,4.91,4.88,2.97,0,2,5
5456,1.0,61.3,61.0,6.39,6.36,3.91,2,3,3
5457,0.42,60.6,58.0,4.82,4.95,2.96,3,4,4
5458,1.09,61.9,57.0,6.58,6.63,4.09,4,2,2
5459,0.33,62.7,54.0,4.45,4.42,2.78,5,2,7
5460,2.22,62.8,57.0,8.29,8.33,5.22,6,4,3
5461,0.24,62.1,56.0,3.97,4.0,2.47,3,2,6
5462,0.9,61.3,59.0,6.18,6.12,3.77,0,3,6
5463,0.25,60.5,59.0,4.06,4.1,2.47,1,4,7
5464,0.31,61.6,59.0,4.33,4.31,2.66,5,3,7
5465,1.05,61.1,59.0,6.54,6.61,4.02,2,3,3
5466,0.41,62.3,58.0,4.77,4.73,2.96,0,3,3
5467,0.7,62.2,59.0,5.7,5.65,3.53,4,3,2
5468,1.54,61.1,56.0,7.45,7.42,4.54,4,2,2
5469,1.18,61.7,58.0,6.75,6.79,4.18,5,3,3
5470,0.79,62.8,60.0,5.8,5.89,3.67,1,4,6
5471,1.0,61.3,60.0,6.38,6.35,3.9,4,3,2
5472,2.08,62.2,60.0,8.16,8.09,5.06,3,3,3
5473,1.5,60.8,58.0,7.34,7.24,4.43,5,3,3
5474,0.61,61.1,56.0,5.47,5.5,3.35,3,4,6
5475,0.4,62.1,57.0,4.74,4.69,2.93,4,2,7
5476,0.73,61.4,56.0,5.79,5.81,3.56,1,2,2
5477,0.3,60.4,58.0,4.3,4.34,2.61,1,3,5
5478,0.58,61.5,58.0,5.31,5.36,3.28,1,4,2
5479,1.2,63.5,57.0,6.76,6.66,4.26,3,4,5
5480,0.4,62.6,56.0,4.69,4.74,2.95,3,2,5
5481,0.4,61.9,55.0,4.76,4.77,2.95,4,2,1
5482,1.03,61.6,59.0,6.53,6.5,4.01,3,3,2
5483,0.92,59.6,59.0,6.32,6.29,3.76,4,3,5
5484,0.43,62.2,57.0,4.81,4.84,3.0,5,2,6
5485,1.15,61.8,56.0,6.75,6.7,4.15,1,3,3
5486,1.17,62.7,57.0,6.7,6.72,4.21,0,2,3
5487,0.53,60.8,59.0,5.23,5.17,3.16,1,3,6
5488,1.01,61.7,61.0,6.6,6.49,4.04,2,0,4
5489,1.08,60.2,58.0,6.61,6.67,4.0,0,4,4
5490,0.63,61.2,59.2,5.48,5.51,3.36,4,4,5
5491,0.85,62.3,55.0,6.1,6.06,3.79,6,2,2
5492,1.1,58.9,63.0,6.73,6.78,3.98,2,4,2
5493,0.71,62.3,56.0,5.7,5.73,3.56,1,2,5
5494,0.3,62.2,55.0,4.28,4.31,2.67,3,2,4
5495,0.4,63.4,58.0,4.61,4.64,2.93,6,1,4
5496,1.5,61.6,58.0,7.35,7.43,4.55,2,4,4
5497,1.5,60.7,60.0,7.32,7.41,4.47,1,4,5
5498,0.32,63.0,57.0,4.37,4.33,2.74,5,2,7
5499,0.32,61.8,55.0,4.42,4.35,2.71,4,3,3
5500,0.3,62.6,60.0,4.22,4.28,2.66,6,3,4
5501,1.5,64.0,56.0,7.17,7.23,4.61,0,4,3
5502,0.32,61.1,55.0,4.46,4.48,2.73,3,2,6
5503,0.36,61.9,59.0,4.54,4.51,2.8,2,3,2
5504,0.38,60.5,62.0,4.65,4.74,2.84,1,4,5
5505,0.71,63.1,56.0,5.66,5.62,3.56,0,4,2
5506,1.68,60.4,55.0,7.79,7.7,4.68,1,2,3
5507,0.9,62.7,59.0,6.1,6.15,3.84,4,4,5
5508,1.22,62.9,53.8,6.79,6.83,4.29,5,4,4
5509,1.07,58.6,60.0,6.76,6.65,3.93,3,3,4
5510,0.9,62.6,58.0,6.14,6.17,3.85,5,4,4
5511,1.21,62.4,58.0,6.83,6.79,4.25,4,4,2
5512,0.46,63.0,57.0,4.93,4.79,3.06,2,3,4
5513,0.32,61.7,59.0,4.43,4.38,2.72,0,3,5
5514,0.59,61.3,56.0,5.41,5.43,3.32,3,2,2
5515,0.3,63.3,59.0,4.28,4.22,2.69,4,4,6
5516,0.5,61.2,61.0,5.03,5.06,3.09,5,1,4
5517,2.41,60.7,59.0,8.7,8.64,5.26,5,3,3
5518,0.85,60.5,60.0,6.11,6.06,3.68,0,3,3
5519,1.0,59.0,60.0,6.49,6.43,3.82,3,3,0
5520,0.43,62.0,57.0,4.84,4.81,2.99,2,2,6
5521,0.3,61.2,55.0,4.33,4.36,2.66,2,2,6
5522,1.01,61.3,59.0,6.41,6.45,3.94,4,3,5
5523,0.41,61.9,57.0,4.77,4.73,2.94,2,2,4
5524,0.35,61.3,56.0,4.56,4.54,2.79,0,2,5
5525,2.34,63.9,62.0,8.4,8.34,5.35,6,1,5
5526,0.77,61.3,60.0,5.88,5.9,3.61,4,4,4
5527,1.09,61.2,62.0,6.63,6.58,4.04,4,3,3
5528,0.41,61.3,59.0,4.78,4.74,2.92,6,3,4
5529,0.4,62.6,55.0,4.71,4.69,2.93,3,2,2
5530,2.4,62.0,57.0,8.53,8.47,5.27,6,2,2
5531,1.02,63.3,58.0,6.35,6.39,4.03,0,1,2
5532,0.3,61.9,55.0,4.31,4.35,2.68,0,2,2
5533,1.01,62.5,59.0,6.38,6.42,4.0,2,4,5
5534,0.32,64.1,54.0,4.32,4.36,2.78,1,1,5
5535,0.53,61.4,56.0,5.2,5.23,3.2,6,2,2
5536,0.51,62.6,59.0,5.08,5.11,3.19,3,4,7
5537,0.36,62.4,53.0,4.58,4.59,2.86,4,2,2
5538,0.34,62.2,54.0,4.5,4.47,2.79,1,2,2
5539,2.02,61.4,58.0,8.14,8.07,4.98,5,3,2
5540,1.26,60.1,59.0,7.03,6.99,4.21,5,3,3
5541,0.9,61.9,59.0,6.16,6.19,3.82,3,2,2
5542,0.32,62.2,54.0,4.4,4.44,2.75,2,2,1
5543,0.54,61.8,55.0,5.22,5.3,3.24,3,2,7
5544,0.51,63.0,53.0,5.13,5.1,3.22,3,2,2
5545,0.34,61.1,57.0,4.47,4.51,2.75,3,2,1
5546,1.2,63.3,57.0,6.77,6.71,4.26,3,4,4
5547,0.51,60.0,57.0,5.18,5.25,3.13,1,4,4
5548,1.0,64.9,56.0,6.2,6.14,4.01,3,0,0
5549,0.38,60.1,61.0,4.66,4.63,2.79,3,3,5
5550,0.32,60.9,57.0,4.41,4.44,2.69,3,4,6
5551,0.4,62.9,59.0,4.7,4.75,2.97,1,4,5
5552,0.5,61.9,61.0,5.09,5.12,3.16,0,4,2
5553,0.4,62.9,57.0,4.7,4.68,2.95,2,2,2
5554,1.32,62.2,57.0,7.07,7.01,4.38,5,2,2
5555,1.51,61.7,65.0,7.31,7.38,4.53,0,1,3
5556,1.0,61.2,62.0,6.36,6.32,3.88,4,3,2
5557,0.23,59.2,61.0,4.04,4.0,2.38,4,3,7
5558,1.51,63.4,57.0,7.29,7.25,4.61,2,4,3
5559,0.53,62.1,57.0,5.16,5.21,3.22,2,2,4
5560,2.43,63.2,57.0,8.56,8.5,5.39,4,4,3
5561,1.01,64.9,56.0,6.29,6.2,4.07,5,0,4
5562,1.29,61.6,57.0,7.0,7.06,4.33,6,2,2
5563,0.36,62.0,56.0,4.57,4.59,2.84,1,2,4
5564,0.7,60.5,59.0,5.73,5.67,3.45,6,3,1
5565,0.52,61.9,55.0,5.15,5.18,3.2,3,2,5
5566,1.53,61.4,58.0,7.35,7.44,4.54,0,2,2
5567,0.71,61.0,56.0,5.77,5.8,3.53,2,2,4
5568,1.03,60.2,55.0,6.53,6.59,3.95,2,4,3
5569,0.42,61.1,56.0,4.82,4.87,2.96,3,2,6
5570,0.54,62.1,56.0,5.22,5.19,3.23,3,2,7
5571,1.1,60.2,56.0,6.74,6.82,4.08,4,2,2
